# n1c/mol     n2c/mol      n1d/mmol     n2d/mmol     Q/J
 7.00000e-04  2.93493e-03  0.00000e+00  2.24875e-02  3.89000e-03
 7.00000e-04  2.95741e-03  0.00000e+00  2.24875e-02  3.83000e-03
 7.00000e-04  2.97990e-03  0.00000e+00  2.24875e-02  3.75000e-03
 7.00000e-04  3.00239e-03  0.00000e+00  2.24875e-02  3.64000e-03
 7.00000e-04  3.02488e-03  0.00000e+00  2.24875e-02  3.69000e-03
 7.00000e-04  3.04736e-03  0.00000e+00  2.24875e-02  3.60000e-03
 7.00000e-04  3.06985e-03  0.00000e+00  2.24875e-02  3.53000e-03
 7.00000e-04  3.09234e-03  0.00000e+00  2.24875e-02  3.50000e-03
 7.00000e-04  3.11483e-03  0.00000e+00  2.24875e-02  3.63000e-03
 7.00000e-04  3.13731e-03  0.00000e+00  2.24875e-02  3.44000e-03
 7.00000e-04  3.15980e-03  0.00000e+00  2.24875e-02  3.44000e-03
 7.00000e-04  3.18229e-03  0.00000e+00  2.24875e-02  3.40000e-03
 7.00000e-04  3.20478e-03  0.00000e+00  2.24875e-02  3.41000e-03
 7.00000e-04  3.22726e-03  0.00000e+00  2.24875e-02  3.37000e-03
 7.00000e-04  3.24975e-03  0.00000e+00  2.24875e-02  3.34000e-03
 7.00000e-04  3.27224e-03  0.00000e+00  2.24875e-02  3.32000e-03
 7.00000e-04  3.29473e-03  0.00000e+00  2.24875e-02  3.34000e-03
 7.00000e-04  3.31721e-03  0.00000e+00  2.24875e-02  3.26000e-03
 7.00000e-04  3.33970e-03  0.00000e+00  2.24875e-02  3.27000e-03
 7.00000e-04  3.36219e-03  0.00000e+00  2.24875e-02  3.23000e-03
 7.00000e-04  3.38468e-03  0.00000e+00  2.24875e-02  3.28000e-03
 7.00000e-04  3.40716e-03  0.00000e+00  2.24875e-02  3.30000e-03
 7.00000e-04  3.42965e-03  0.00000e+00  2.24875e-02  3.28000e-03
 7.00000e-04  3.45214e-03  0.00000e+00  2.24875e-02  3.28000e-03
 7.00000e-04  3.47463e-03  0.00000e+00  2.24875e-02  3.27000e-03
 7.00000e-04  3.49711e-03  0.00000e+00  2.24875e-02  3.27000e-03
 7.00000e-04  3.51960e-03  0.00000e+00  2.24875e-02  3.18000e-03
 7.00000e-04  3.54209e-03  0.00000e+00  2.24875e-02  3.21000e-03
 7.00000e-04  3.56458e-03  0.00000e+00  2.24875e-02  3.13000e-03
 7.00000e-04  3.58706e-03  0.00000e+00  2.24875e-02  3.15000e-03
 7.00000e-04  3.60955e-03  0.00000e+00  2.24875e-02  3.06000e-03
 7.00000e-04  3.63204e-03  0.00000e+00  2.24875e-02  3.08000e-03
 7.00000e-04  3.65453e-03  0.00000e+00  2.24875e-02  3.07000e-03
 7.00000e-04  3.67701e-03  0.00000e+00  2.24875e-02  3.00000e-03
 7.00000e-04  3.69950e-03  0.00000e+00  2.24875e-02  2.97000e-03
 7.00000e-04  3.72199e-03  0.00000e+00  2.24875e-02  2.99000e-03
 7.00000e-04  3.74448e-03  0.00000e+00  2.24875e-02  2.97000e-03
 7.00000e-04  3.76696e-03  0.00000e+00  2.24875e-02  2.89000e-03
 7.00000e-04  3.78945e-03  0.00000e+00  2.24875e-02  2.88000e-03
 7.00000e-04  3.81194e-03  0.00000e+00  2.24875e-02  2.85000e-03
